feed_name,proteinContent,fatContent,fiberContent,calciumContent,phosphorusContent,moistureContent,ashContent,metabolizableEnergy,lysineContent,methionineContent,particleSize,density,price,shelfLife,weight
FirstPeck,19.5,3.2,2.4,0.82,0.78,10.8,4.5,2921,0.96,0.43,3.5,0.57,1.71,295,16.285714285714285
ChickStart Plus,18.2,3.8,3.9,3.02,0.68,9.3,6.9,2865,0.99,0.37,3.4,0.7,1.67,302,20.588235294117645
EarlyGrow Formula,19.3,4.6,3.2,1.2,0.69,10.2,5.8,2950,1.05,0.38,3.3,0.69,1.65,331,20.909090909090907
HatchMate Premier,20.2,3.7,3.8,3.16,0.63,11.4,5.7,2866,1.11,0.38,3.2,0.74,1.71,292,23.125
PeepNourish,19.2,3.9,4.2,3.06,0.61,9.3,5.9,2860,0.91,0.34,2.9,0.64,1.67,309,22.06896551724138
NestStart Gold,19.0,4.0,3.5,1.12,0.74,9.9,4.8,2917,0.93,0.37,2.9,0.72,1.68,334,24.82758620689655
FledglingBlend,17.3,4.2,3.4,0.89,0.65,9.9,4.9,3002,0.86,0.39,2.4,0.69,1.66,307,28.749999999999996
ChickBoost Complete,18.5,4.1,3.7,1.0,0.68,11.5,6.2,3001,0.94,0.41,1.8,0.67,1.66,309,37.22222222222222
HatchlingEssentials,22.6,5.5,3.1,0.84,0.69,10.6,5.9,3165,1.21,0.5,3.2,0.62,1.8,309,19.374999999999996
FirstFeather Nutrition,23.1,5.3,3.2,0.77,0.71,9.2,6.5,3082,1.24,0.48,2.3,0.67,1.82,322,29.1304347826087
StartRight Formula,20.5,4.4,2.4,0.87,0.79,10.0,4.3,2937,0.93,0.37,2.9,0.7,1.74,306,24.137931034482758
EggToChick Plus,21.1,4.5,2.8,0.95,0.75,10.6,6.2,3050,1.02,0.41,3.0,0.66,1.74,298,22.0
BabyBirdBlend,17.7,3.5,3.3,3.3,0.58,11.1,5.8,2779,0.86,0.38,3.1,0.72,1.63,318,23.2258064516129
